Level;Item Number;Partnumber;Manufacturer P/N;Quantity
0;1;84-00008;TLA, RUBY BATTERY, EVT;1
1;1;65-00031;Li-Ion 18650 Cell;8
1;2;71-00075;Battery Case;1
1;3;71-00086;Battery Cap - dotted SoC;1
1;4;71-00077;Battery Cell Cage;2
1;5;71-00078;Battery Pushbutton;1
1;6;73-00002;Safety-Sticker;1
1;7;73-00003;Label Sticker, Ruby Battery;1
1;8;73-00007;M71-16-423;1
1;9;73-00016;PRT_M71-16-423_IECcertInfo.1.0.A;1
1;10;74-00048;STP38A0200060S;2
1;11;74-00073;STP380250300S;4
1;12;74-00088;ISO14581-M2,5x6-steel8.8-black-T8;4
1;13;75-00052;0X-RDF1361;2
1;14;75-00053;KS 1153;9
1;15;75-00060;Kapton band width:50mm;46.0
1;16;76-00018;Battery Foot Front;1
1;17;76-00019;Battery Foot Back;1
1;18;76-00020;O-Ring 4x1, NBR 70;1
1;19;76-00024;O-Ring 80x1.25 , NBR 70;1
1;20;76-00044;Silicone Tube Piece 4,0x0,5mm 1090080405;15.0
1;21;81-00028;PCBA-Battery_PCB;1
2;1;61-00843;C0603-100n-50V-20%-X7R;44
2;2;61-00620;C0603-100p-50V-10%-X7R;7
2;3;61-00845;C0805-4u7-16V-20%-X7R;1
2;4;61-00895;C0603-4n7-50V-20%-X7R;2
2;5;61-00846;C1210-4u7-50V-20%-X7R;16
2;6;61-00844;C0805-22u-10V-20%-X7T;7
2;7;61-00848;C0805-1u-25V-20%-X7R;2
2;8;61-00608;C0603-27p-50V-20%-C0G;2
2;9;61-00263;SMA6J20A-TR;2
2;10;61-00197;PMEG6010CEJ,115;6
2;11;61-00170;150060GS75000;1
2;12;61-00333;0680L9100-05;1
2;13;61-00339;SFJ-1412;1
2;14;61-00336;BQ294703DSGR;1
2;15;61-00109;SN74LV1T34DCKR;1
2;16;61-00448;SK6805-EC15;4
2;17;61-00458;TMP112NAIDRLR;1
2;18;61-00150;824001;2
2;19;61-00341;STM32G431CBU6;1
2;20;61-00022;TPS70933DRVR;1
2;21;61-00006;BQ24780SRUYR;1
2;22;61-00779;AP7387-50W5-7;1
2;23;61-00337;BQ769X2PFB;1
2;24;61-00002;744771004;1
2;25;61-00001;742792410;1
2;26;61-00335;PRF15BE103RB6RC;1
2;27;61-00106;TSX-3225 24.0000MF10Z-C;1
2;28;61-00499;ECS-.327-12.5-12R-TR;1
2;29;61-00651;R0603-100k-63mW-1%-400ppm-50V;16
2;30;61-00652;R0603-10k-63mW-1%-400ppm-50V;13
2;31;61-00653;R0603-10R-63mW-1%-400ppm-50V;52
2;32;61-00599;R0603-0R-63mW-1%-400ppm-50V;16
2;33;61-00026;LVT12R0050FER;3
2;34;61-00650;R0603-1k-63mW-1%-400ppm-50V;10
2;35;61-00683;R0603-10Meg-63mW-1%-400ppm-50V;11
2;36;61-00674;R0603-510k-63mW-1%-400ppm-50V;8
2;37;61-00686;R0603-150R-63mW-1%-400ppm-50V;4
2;38;61-00671;R0603-330R-63mW-1%-400ppm-50V;4
2;39;61-00797;430451035836;1
2;40;61-00334;SiSS06DN-T1-GE3;4
2;41;61-00115;DMG1012UW-7;9
2;42;61-00252;PMF170XP,115;1
2;43;61-00024;CSD17577Q3A;1
2;44;61-00008;CSD17308Q3;1
2;45;61-00198;PMV30ENEAR;5
2;46;61-00011;MUSBR-M5C1-M0;1
2;47;62-00020;665102131822;2
2;48;61-00890;62002021121;1
2;49;63-00013;PCB (UNPOPULATED), BMS ORB BATTERY;1
1;22;81-00040;Power_Connector_Battery_Side;1
2;1;61-00889;62132021821;1
2;2;62-00066;YJ-FDC25008-00;1
2;3;63-00042;PCB (UNPOPULATED), POWER CONNECTOR BATTERY SIDE PCB;1
1;23;83-00017;Battery temperature sensor assembly;2
2;1;61-00317;NTCLE317E4103SBA;1
2;2;61-00728;Heat shrinking tube;15.0
2;3;62-00033;665002113322 Female Housing;1
2;4;62-00042;66500113722;2
2;5;61-00720;Black Wire, TPC, 28 AWG, 0,70mm +/- 0,05mm, max. 216,00 Ohm/km at 20Â°C;75.0
1;24;83-00022;Hiluminstrip_long;5
2;1;61-00727;Hilumin strip;65.0
1;25;83-00023;Hiluminstrip_short;6
2;1;61-00727;Hilumin strip;25.0
1;26;83-00024;Heat shrinking tube - Hilumin;5
2;1;61-00726;Heat shrinking tube;55.0